theta_B_deg,kdf,residual_norm,radius_residual,length_residual,sigma_E_rad,theta_Rao_E_deg,mass_residual,performance_residual,rao_exit_residual,thrust_coefficient,thrust_coefficient_target,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
25.03125,0.1725,0.08558373713483185,0.011647682151140367,0.0479268881360914,0.13978938829535156,2.5029718668162855,2.0033075091088685e-09,-0.19012159824341748,3.199932878281523,1.25282452065762,1.5469291660826012,3.418942118006877,3.418942118006877,0.0,17.69457102169774,17.69457102169774,0.0,0.0,10.5123138368554,3.512340584569353,True,0,ok
25.03125,0.17625,0.0969810605027,0.028402130928613108,0.08102776757092649,0.14437381386481038,2.045162434803476,1.1349901630436765e-09,-0.18483008586956626,4.044671496939478,1.2610101154814175,1.5469291660826012,3.4507689224921863,3.4507689224921863,0.0,17.472742702201312,17.472742702201312,0.0,0.0,10.31717264146444,3.5471567810330993,True,0,ok
25.03125,0.18,0.11177429041967503,0.04525046088478939,0.11475139976490879,0.14921457046204906,1.5758903877837573,3.07430426068011e-10,-0.17983426412894568,5.42510138751223,1.268738297840533,1.5469291660826012,3.4825429250800664,3.4825429250800664,0.0,17.25150213964826,17.25150213964826,0.0,0.0,10.125255517116607,3.581994349593191,True,0,ok
25.125,0.12,0.23960013562018787,-0.2047019495626286,-0.3464711397174656,0.1013880474009472,7.902975322409603,5.13454070890473e-10,-0.2969496531241092,0.735053188471228,1.0875690868068053,1.5469291660826012,2.9785717421129494,2.9785717421129494,0.0,21.037155432941166,21.037155432941166,0.0,0.0,13.712082531556213,3.0350142661461734,True,0,ok
25.125,0.12375,0.2223060774946406,-0.18847983031310825,-0.319545031103782,0.10308396061068065,7.524871215826116,8.173658183972685e-10,-0.28637528003431306,0.7849005928583725,1.10392689295245,1.5469291660826012,3.013854718375825,3.013854718375825,0.0,20.76985703061403,20.76985703061403,0.0,0.0,13.431147094310937,3.0725170844949408,True,0,ok
25.125,0.1275,0.20468352737436402,-0.17193283451926317,-0.29171953710183174,0.1049992915333278,7.131970311251395,1.4848825478962735e-10,-0.2762892792998195,0.8435279444773536,1.1195292216577686,1.5469291660826012,3.0497155742518665,3.0497155742518665,0.0,20.490334587134157,20.490334587134157,0.0,0.0,13.147986567974796,3.110855693106068,True,0,ok
25.125,0.13125,0.18780898997874138,-0.15603279553951632,-0.26456282325810154,0.10713043179382305,6.76182444603465,1.9730222825332954e-10,-0.2667225995098691,0.9077611594604146,1.1343281976474158,1.5469291660826012,3.0831755059929447,3.0831755059929447,0.0,20.25508925259462,20.25508925259462,0.0,0.0,12.89994604523484,3.146372763113028,True,0,ok
25.125,0.135,0.1703632266734065,-0.13942609110271495,-0.23588762123354476,0.10949101459170334,6.361991845491737,1.9195475527056828e-06,-0.257558541448282,0.9860705865499308,1.1485043463425593,1.5469291660826012,3.118316554232341,3.118316554232341,0.0,19.98739458756118,19.98739458756118,0.0,0.0,12.63536487620165,3.1840734948230645,True,0,ok
25.125,0.13874999999999998,0.15364686461662624,-0.12325215964664787,-0.2075494004226865,0.11204565384779633,5.975635834045221,9.574212753061581e-10,-0.24886634000862723,1.074319663471966,1.1619505662670264,1.5469291660826012,3.151790938442563,3.151790938442563,0.0,19.749486809736755,19.749486809736755,0.0,0.0,12.395378912307704,3.219841346806894,True,0,ok
25.125,0.1425,0.13693958623999936,-0.10660960625189357,-0.17805083337422153,0.1148461728936062,5.568248342440553,1.3120715030572455e-08,-0.2405625941805005,1.1817362652236345,1.1747958728762924,1.5469291660826012,3.186177158086142,3.186177158086142,0.0,19.49420012705872,19.49420012705872,0.0,0.0,12.148449342473945,3.2568479286819736,True,0,ok
